Season,Matchday,Date,Time,Home Team,Away Team,Result,Home Goals,Away Goals,Status,Match URL
2025,1,2/28/25,6:30 PM,DFK Dainava,Kauno Žalgiris,1:3,1,3,played,https://www.transfermarkt.com/dfk-dainava-alytus_fk-kauno-zalgiris/index/spielbericht/4564357
2025,1,3/1/25,2:30 PM,Banga,Hegelmann,2:0,2,0,played,https://www.transfermarkt.com/fk-banga-gargzdai_fc-hegelmann/index/spielbericht/4564358
2025,1,,4:30 PM,Riteriai,Sūduva,3:4,3,4,played,https://www.transfermarkt.com/fk-riteriai_fk-suduva-marijampole/index/spielbericht/4564359
2025,1,3/2/25,1:00 PM,Panevėžys,FA Šiauliai,1:3,1,3,played,https://www.transfermarkt.com/fk-panevezys_fa-siauliai/index/spielbericht/4564360
2025,1,,5:25 PM,Žalgiris,Džiugas,2:1,2,1,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_fc-dziugas-telsiai/index/spielbericht/4564361
2025,2,3/7/25,6:30 PM,Riteriai,Žalgiris,3:3,3,3,played,https://www.transfermarkt.com/fk-riteriai_fk-zalgiris-vilnius/index/spielbericht/4564301
2025,2,3/8/25,2:00 PM,FA Šiauliai,DFK Dainava,2:2,2,2,played,https://www.transfermarkt.com/fa-siauliai_dfk-dainava-alytus/index/spielbericht/4564302
2025,2,,4:00 PM,Kauno Žalgiris,Džiugas,1:2,1,2,played,https://www.transfermarkt.com/fk-kauno-zalgiris_fc-dziugas-telsiai/index/spielbericht/4564303
2025,2,3/9/25,1:00 PM,Hegelmann,Panevėžys,2:1,2,1,played,https://www.transfermarkt.com/fc-hegelmann_fk-panevezys/index/spielbericht/4564304
2025,2,,5:25 PM,Sūduva,Banga,1:0,1,0,played,https://www.transfermarkt.com/fk-suduva-marijampole_fk-banga-gargzdai/index/spielbericht/4564305
2025,3,3/14/25,6:00 PM,DFK Dainava,Džiugas,0:2,0,2,played,https://www.transfermarkt.com/dfk-dainava-alytus_fc-dziugas-telsiai/index/spielbericht/4564327
2025,3,3/15/25,3:00 PM,Hegelmann,FA Šiauliai,1:0,1,0,played,https://www.transfermarkt.com/fc-hegelmann_fa-siauliai/index/spielbericht/4564328
2025,3,,4:00 PM,Žalgiris,Banga,1:1,1,1,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_fk-banga-gargzdai/index/spielbericht/4564329
2025,3,3/16/25,2:00 PM,Panevėžys,Sūduva,2:0,2,0,played,https://www.transfermarkt.com/fk-panevezys_fk-suduva-marijampole/index/spielbericht/4564330
2025,3,,5:25 PM,Riteriai,Kauno Žalgiris,0:0,0,0,played,https://www.transfermarkt.com/fk-riteriai_fk-kauno-zalgiris/index/spielbericht/4564331
2025,4,3/28/25,6:00 PM,Sūduva,Džiugas,1:0,1,0,played,https://www.transfermarkt.com/fk-suduva-marijampole_fc-dziugas-telsiai/index/spielbericht/4564281
2025,4,3/29/25,2:00 PM,FA Šiauliai,Kauno Žalgiris,2:3,2,3,played,https://www.transfermarkt.com/fa-siauliai_fk-kauno-zalgiris/index/spielbericht/4564282
2025,4,,4:00 PM,Hegelmann,Riteriai,2:1,2,1,played,https://www.transfermarkt.com/fc-hegelmann_fk-riteriai/index/spielbericht/4564283
2025,4,3/30/25,2:00 PM,Panevėžys,Banga,1:1,1,1,played,https://www.transfermarkt.com/fk-panevezys_fk-banga-gargzdai/index/spielbericht/4564284
2025,4,,5:25 PM,DFK Dainava,Žalgiris,0:1,0,1,played,https://www.transfermarkt.com/dfk-dainava-alytus_fk-zalgiris-vilnius/index/spielbericht/4564285
2025,5,4/4/25,6:30 PM,Sūduva,DFK Dainava,1:0,1,0,played,https://www.transfermarkt.com/fk-suduva-marijampole_dfk-dainava-alytus/index/spielbericht/4564296
2025,5,4/5/25,3:00 PM,Riteriai,Panevėžys,3:1,3,1,played,https://www.transfermarkt.com/fk-riteriai_fk-panevezys/index/spielbericht/4564297
2025,5,,4:00 PM,Banga,FA Šiauliai,1:2,1,2,played,https://www.transfermarkt.com/fk-banga-gargzdai_fa-siauliai/index/spielbericht/4564298
2025,5,4/6/25,3:00 PM,Džiugas,Hegelmann,0:2,0,2,played,https://www.transfermarkt.com/fc-dziugas-telsiai_fc-hegelmann/index/spielbericht/4564299
2025,5,,5:25 PM,Žalgiris,Kauno Žalgiris,0:0,0,0,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_fk-kauno-zalgiris/index/spielbericht/4564300
2025,6,4/12/25,1:00 PM,Panevėžys,Džiugas,0:1,0,1,played,https://www.transfermarkt.com/fk-panevezys_fc-dziugas-telsiai/index/spielbericht/4564347
2025,6,,3:00 PM,FA Šiauliai,Žalgiris,2:0,2,0,played,https://www.transfermarkt.com/fa-siauliai_fk-zalgiris-vilnius/index/spielbericht/4564348
2025,6,,4:00 PM,Banga,Riteriai,1:3,1,3,played,https://www.transfermarkt.com/fk-banga-gargzdai_fk-riteriai/index/spielbericht/4564349
2025,6,,,Kauno Žalgiris,Sūduva,0:0,0,0,played,https://www.transfermarkt.com/fk-kauno-zalgiris_fk-suduva-marijampole/index/spielbericht/4564350
2025,6,,5:00 PM,Hegelmann,DFK Dainava,3:2,3,2,played,https://www.transfermarkt.com/fc-hegelmann_dfk-dainava-alytus/index/spielbericht/4564351
2025,7,4/16/25,4:30 PM,Banga,Džiugas,0:1,0,1,played,https://www.transfermarkt.com/fk-banga-gargzdai_fc-dziugas-telsiai/index/spielbericht/4564291
2025,7,,5:00 PM,Kauno Žalgiris,Hegelmann,3:1,3,1,played,https://www.transfermarkt.com/fk-kauno-zalgiris_fc-hegelmann/index/spielbericht/4564292
2025,7,,,FA Šiauliai,Riteriai,2:2,2,2,played,https://www.transfermarkt.com/fa-siauliai_fk-riteriai/index/spielbericht/4564293
2025,7,,5:30 PM,Žalgiris,Sūduva,3:0,3,0,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_fk-suduva-marijampole/index/spielbericht/4564294
2025,7,,,DFK Dainava,Panevėžys,1:3,1,3,played,https://www.transfermarkt.com/dfk-dainava-alytus_fk-panevezys/index/spielbericht/4564295
2025,8,4/19/25,4:00 PM,Panevėžys,Kauno Žalgiris,0:2,0,2,played,https://www.transfermarkt.com/fk-panevezys_fk-kauno-zalgiris/index/spielbericht/4564342
2025,8,,6:00 PM,Sūduva,FA Šiauliai,1:1,1,1,played,https://www.transfermarkt.com/fk-suduva-marijampole_fa-siauliai/index/spielbericht/4564344
2025,8,,6:30 PM,Riteriai,Džiugas,0:1,0,1,played,https://www.transfermarkt.com/fk-riteriai_fc-dziugas-telsiai/index/spielbericht/4564343
2025,8,4/20/25,2:00 PM,Banga,DFK Dainava,2:1,2,1,played,https://www.transfermarkt.com/fk-banga-gargzdai_dfk-dainava-alytus/index/spielbericht/4564345
2025,8,,5:25 PM,Hegelmann,Žalgiris,2:1,2,1,played,https://www.transfermarkt.com/fc-hegelmann_fk-zalgiris-vilnius/index/spielbericht/4564346
2025,9,4/25/25,6:00 PM,Žalgiris,Panevėžys,2:3,2,3,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_fk-panevezys/index/spielbericht/4564372
2025,9,4/26/25,1:00 PM,Džiugas,FA Šiauliai,0:1,0,1,played,https://www.transfermarkt.com/fc-dziugas-telsiai_fa-siauliai/index/spielbericht/4564373
2025,9,,6:30 PM,DFK Dainava,Riteriai,1:1,1,1,played,https://www.transfermarkt.com/dfk-dainava-alytus_fk-riteriai/index/spielbericht/4564374
2025,9,4/27/25,3:30 PM,Kauno Žalgiris,Banga,0:1,0,1,played,https://www.transfermarkt.com/fk-kauno-zalgiris_fk-banga-gargzdai/index/spielbericht/4564375
2025,9,,5:25 PM,Sūduva,Hegelmann,4:0,4,0,played,https://www.transfermarkt.com/fk-suduva-marijampole_fc-hegelmann/index/spielbericht/4564376
2025,10,5/2/25,6:00 PM,FA Šiauliai,Hegelmann,0:3,0,3,played,https://www.transfermarkt.com/fa-siauliai_fc-hegelmann/index/spielbericht/4564337
2025,10,5/3/25,4:00 PM,Banga,Žalgiris,2:0,2,0,played,https://www.transfermarkt.com/fk-banga-gargzdai_fk-zalgiris-vilnius/index/spielbericht/4564338
2025,10,,5:30 PM,Džiugas,DFK Dainava,2:0,2,0,played,https://www.transfermarkt.com/fc-dziugas-telsiai_dfk-dainava-alytus/index/spielbericht/4564339
2025,10,5/4/25,3:00 PM,Sūduva,Panevėžys,0:0,0,0,played,https://www.transfermarkt.com/fk-suduva-marijampole_fk-panevezys/index/spielbericht/4564340
2025,10,,5:25 PM,Kauno Žalgiris,Riteriai,3:1,3,1,played,https://www.transfermarkt.com/fk-kauno-zalgiris_fk-riteriai/index/spielbericht/4564341
2025,11,5/9/25,6:30 PM,Žalgiris,Riteriai,2:0,2,0,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_fk-riteriai/index/spielbericht/4564311
2025,11,,7:00 PM,Džiugas,Kauno Žalgiris,0:1,0,1,played,https://www.transfermarkt.com/fc-dziugas-telsiai_fk-kauno-zalgiris/index/spielbericht/4564312
2025,11,5/10/25,3:00 PM,Panevėžys,Hegelmann,3:0,3,0,played,https://www.transfermarkt.com/fk-panevezys_fc-hegelmann/index/spielbericht/4564313
2025,11,5/11/25,4:00 PM,Banga,Sūduva,0:1,0,1,played,https://www.transfermarkt.com/fk-banga-gargzdai_fk-suduva-marijampole/index/spielbericht/4564314
2025,11,,5:25 PM,DFK Dainava,FA Šiauliai,1:2,1,2,played,https://www.transfermarkt.com/dfk-dainava-alytus_fa-siauliai/index/spielbericht/4564315
2025,12,5/16/25,7:00 PM,DFK Dainava,Sūduva,0:3,0,3,played,https://www.transfermarkt.com/dfk-dainava-alytus_fk-suduva-marijampole/index/spielbericht/4564306
2025,12,5/17/25,2:00 PM,Hegelmann,Džiugas,1:0,1,0,played,https://www.transfermarkt.com/fc-hegelmann_fc-dziugas-telsiai/index/spielbericht/4564307
2025,12,,4:00 PM,Panevėžys,Riteriai,3:0,3,0,played,https://www.transfermarkt.com/fk-panevezys_fk-riteriai/index/spielbericht/4564308
2025,12,,4:25 PM,Kauno Žalgiris,Žalgiris,3:0,3,0,played,https://www.transfermarkt.com/fk-kauno-zalgiris_fk-zalgiris-vilnius/index/spielbericht/4564310
2025,12,5/18/25,3:00 PM,FA Šiauliai,Banga,3:0,3,0,played,https://www.transfermarkt.com/fa-siauliai_fk-banga-gargzdai/index/spielbericht/4564309
